Key	State Name	ISO	ANSI	ANSI2	USPS	USCG	GPO	AP
1	Alabama	US-AL	AL	01	AL	AL	Ala.	Ala.
2	Alaska	US-AK	AK	02	AK	AK	Alaska	Alaska
3	Arizona	US-AZ	AZ	04	AZ	AZ	Ariz.	Ariz.
4	Arkansas	US-AR	AR	05	AR	AR	Ark.	Ark.
5	California	US-CA	CA	06	CA	CF	Calif.	Calif.
6	Colorado	US-CO	CO	08	CO	CL	Colo.	Colo.
7	Connecticut	US-CT	CT	09	CT	CT	Conn.	Conn.
8	Delaware	US-DE	DE	10	DE	DL	Del.	Del.
9	Florida	US-FL	FL	12	FL	FL	Fla.	Fla.
10	Georgia	US-GA	GA	13	GA	GA	Ga.	Ga.
11	Hawaii	US-HI	HI	15	HI	HA	Hawaii	Hawaii
12	Idaho	US-ID	ID	16	ID	ID	Idaho	Idaho
13	Illinois	US-IL	IL	17	IL	IL	Ill.	Ill.
14	Indiana	US-IN	IN	18	IN	IN	Ind.	Ind.
15	Iowa	US-IA	IA	19	IA	IA	Iowa	Iowa
16	Kansas	US-KS	KS	20	KS	KA	Kans.	Kan.
17	Kentucky	US-KY	KY	21	KY	KY	Ky.	Ky.
18	Louisiana	US-LA	LA	22	LA	LA	La.	La.
19	Maine	US-ME	ME	23	ME	ME	Maine	Maine
20	Maryland	US-MD	MD	24	MD	MD	Md.	Md.
21	Massachusetts	US-MA	MA	25	MA	MS	Mass.	Mass.
22	Michigan	US-MI	MI	26	MI	MC	Mich.	Mich.
23	Minnesota	US-MN	MN	27	MN	MN	Minn.	Minn.
24	Mississippi	US-MS	MS	28	MS	MI	Miss.	Miss.
25	Missouri	US-MO	MO	29	MO	MO	Mo.	Mo.
26	Montana	US-MT	MT	30	MT	MT	Mont.	Mont.
27	Nebraska	US-NE	NE	31	NE	NB	Nebr.	Neb.
28	Nevada	US-NV	NV	32	NV	NV	Nev.	Nev.
29	New Hampshire	US-NH	NH	33	NH	NH	N.H.	N.H.
30	New Jersey	US-NJ	NJ	34	NJ	NJ	N.J.	N.J.
31	New Mexico	US-NM	NM	35	NM	NM	N. Mex.	N.M.
32	New York	US-NY	NY	36	NY	NY	N.Y.	N.Y.
33	North Carolina	US-NC	NC	37	NC	NC	N.C.	N.C.
34	North Dakota	US-ND	ND	38	ND	ND	N. Dak.	N.D.
35	Ohio	US-OH	OH	39	OH	OH	Ohio	Ohio
36	Oklahoma	US-OK	OK	40	OK	OK	Okla.	Okla.
37	Oregon	US-OR	OR	41	OR	OR	Oreg.	Ore.
38	Pennsylvania	US-PA	PA	42	PA	PA	Pa.	Pa.
39	Rhode Island	US-RI	RI	44	RI	RI	R.I.	R.I.
40	South Carolina	US-SC	SC	45	SC	SC	S.C.	S.C.
41	South Dakota	US-SD	SD	46	SD	SD	S. Dak.	S.D.
42	Tennessee	US-TN	TN	47	TN	TN	Tenn.	Tenn.
43	Texas	US-TX	TX	48	TX	TX	Tex.	Texas
44	Utah	US-UT	UT	49	UT	UT	Utah	Utah
45	Vermont	US-VT	VT	50	VT	VT	Vt.	Vt.
46	Virginia	US-VA	VA	51	VA	VA	Va.	Va.
47	Washington	US-WA	WA	53	WA	WN	Wash.	Wash.
48	West Virginia	US-WV	WV	54	WV	WV	W. Va.	W.Va.
49	Wisconsin	US-WI	WI	55	WI	WS	Wis.	Wis.
50	Wyoming	US-WY	WY	56	WY	WY	Wyo.	Wyo.
